scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
optimumWash_who030718_v2,dalysAverted,2029,156868.06753043795,154685.01901154875,144110.15958197234,159865.3093190064,optimumWash
optimumWash_who030718_v2,dalysAverted,2030,172945.29584120825,170781.40628611326,159893.7077541623,176213.44683861473,optimumWash
optimumWash_who030718_v2,dalysAverted,2031,185733.8275386242,183580.77746264718,172227.43997270332,189519.39221554334,optimumWash
optimumWash_who030718_v2,dalysAverted,2032,192307.72931404714,190160.91239402603,178592.40389121827,196351.905120486,optimumWash
optimumWash_who030718_v2,dalysAverted,2033,194921.8767072034,192839.35134156526,181393.96686355025,199100.67463743096,optimumWash
optimumWash_who030718_v2,dalysAverted,2034,196113.29308108828,194039.63731057206,182560.98190819312,200415.97542933948,optimumWash
optimumWash_who030718_v2,dalysAverted,2035,196113.29282404235,194039.63733891552,182560.98159879775,200415.9755674947,optimumWash
optimumWash_who030718_v2,deathsAverted,2018,179.20816991287808,179.90906360551963,171.152143614095,186.79220664860958,optimumWash
optimumWash_who030718_v2,deathsAverted,2019,648.9391691169194,633.208888511973,570.1536738575445,662.602434040703,optimumWash
optimumWash_who030718_v2,deathsAverted,2020,1037.7432255361364,1021.3065822008022,945.3557223768206,1057.137000057271,optimumWash
optimumWash_who030718_v2,deathsAverted,2021,1452.5391054519814,1440.556860441424,1354.4639533220043,1493.7988176210465,optimumWash
optimumWash_who030718_v2,deathsAverted,2022,2080.6846043004134,2056.7468085755686,1911.0796854187586,2141.940286280331,optimumWash
optimumWash_who030718_v2,deathsAverted,2023,2622.250924968578,2592.2110775918572,2417.2107981767076,2690.0613278080486,optimumWash
optimumWash_who030718_v2,deathsAverted,2024,3105.269506475662,3084.954391568968,2907.1846705134058,3202.102542226371,optimumWash
optimumWash_who030718_v2,deathsAverted,2025,3856.3184422662366,3818.047417009229,3559.5576764090606,3975.750788266389,optimumWash
optimumWash_who030718_v2,deathsAverted,2026,4519.553935982965,4465.626915769028,4162.868056669809,4630.884897710302,optimumWash
optimumWash_who030718_v2,deathsAverted,2027,5106.991490258602,5054.986936849518,4742.264338641303,5232.332115355997,optimumWash
optimumWash_who030718_v2,deathsAverted,2028,5985.30183808615,5911.078783969623,5507.968771134224,6131.367679303791,optimumWash
optimumWash_who030718_v2,deathsAverted,2029,6754.610518322126,6663.085633235451,6208.943287063561,6892.103474230568,optimumWash
optimumWash_who030718_v2,deathsAverted,2030,7423.597193181675,7332.284348122231,6865.357026555339,7573.878947555601,optimumWash
optimumWash_who030718_v2,deathsAverted,2031,7923.252149398037,7832.742577876932,7349.660651455503,8095.926568243935,optimumWash
optimumWash_who030718_v2,deathsAverted,2032,8178.148450814678,8087.837610909516,7596.981619630991,8359.23854846636,optimumWash
optimumWash_who030718_v2,deathsAverted,2033,8280.982850486807,8193.607731819811,7706.264175677558,8468.08781278663,optimumWash
optimumWash_who030718_v2,deathsAverted,2034,8329.91076046382,8242.932509599907,7753.5745381836705,8521.338430506241,optimumWash
optimumWash_who030718_v2,deathsAverted,2035,8329.910764347384,8242.932510756833,7753.574535173372,8521.338436853131,optimumWash
optimumWat_who030718_v2,cases,2018,147480.46087429608,147600.42394820089,146021.07878801448,150228.8182506976,optimumWat
optimumWat_who030718_v2,cases,2019,292956.1643215269,292930.9758480185,289544.98798257683,298426.8903021708,optimumWat
optimumWat_who030718_v2,cases,2020,443421.6652793186,442892.2694896596,437097.7431518307,450919.211976824,optimumWat
optimumWat_who030718_v2,cases,2021,593808.897206293,593179.3004012564,585359.4397446455,603689.5989963333,optimumWat
optimumWat_who030718_v2,cases,2022,745346.0201411317,744391.2012792482,734746.6983908009,757865.4159239895,optimumWat
optimumWat_who030718_v2,cases,2023,905285.336647245,903693.5321990579,891402.2897659448,919959.0974233425,optimumWat
optimumWat_who030718_v2,cases,2024,1066933.2501395708,1065334.423343631,1050738.1915397572,1084469.2507751354,optimumWat
optimumWat_who030718_v2,cases,2025,1230519.5099841922,1228690.1488078525,1211713.547512727,1250863.1872475492,optimumWat
optimumWat_who030718_v2,cases,2026,1403650.1434303068,1401285.5072445762,1381331.950222337,1426753.3863947347,optimumWat
optimumWat_who030718_v2,cases,2027,1579174.0530026897,1576757.7408789846,1554045.481813619,1605405.9040159439,optimumWat
optimumWat_who030718_v2,cases,2028,1755885.3292542826,1753340.3134640167,1728142.188702935,1785523.1430251044,optimumWat
optimumWat_who030718_v2,cases,2029,1941304.3087304765,1937946.8822918,1909387.7476185414,1973434.671815104,optimumWat
optimumWat_who030718_v2,cases,2030,2129517.6681047822,2126521.5360566573,2095205.1749364906,2165515.360084739,optimumWat
optimumWat_who030718_v2,cases,2031,2331816.06053722,2329423.964801543,2295530.354030491,2372167.0190454167,optimumWat
optimumWat_who030718_v2,cases,2032,2553176.650503192,2551000.863788349,2514314.7937966934,2597590.0485739848,optimumWat
optimumWat_who030718_v2,cases,2033,2787651.8481719587,2785646.315769751,2746071.7844081097,2836386.6428779657,optimumWat
optimumWat_who030718_v2,cases,2034,3032787.054484224,3030919.2835478913,2988406.256273269,3085973.9988805354,optimumWat
optimumWat_who030718_v2,cases,2035,3287962.000678911,3286094.4629273186,3240413.6552156457,3345543.7107408764,optimumWat
optimumWat_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,optimumWat
optimumWat_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,optimumWat
optimumWat_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,optimumWat
optimumWat_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,optimumWat
optimumWat_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,optimumWat
optimumWat_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,optimumWat
optimumWat_who030718_v2,cases_cf,2024,1198898.7156558158,1199149.294450664,1184238.7129504702,1219623.7021479916,optimumWat
optimumWat_who030718_v2,cases_cf,2025,1390550.2133865403,1390832.989616239,1373520.9919993884,1414588.058208133,optimumWat
optimumWat_who030718_v2,cases_cf,2026,1587753.366927485,1588067.1977573163,1568279.534341074,1615200.011677191,optimumWat
optimumWat_who030718_v2,cases_cf,2027,1790671.897320488,1791015.5490049645,1768675.6625111275,1821626.1184824223,optimumWat
optimumWat_who030718_v2,cases_cf,2028,1999474.448443628,1999846.5917514763,1974875.5451158418,2034037.942449987,optimumWat
optimumWat_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,optimumWat
optimumWat_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,optimumWat
optimumWat_who030718_v2,cases_cf,2031,2662936.2161439583,2663398.31011138,2630024.9503544476,2708981.716347921,optimumWat
optimumWat_who030718_v2,cases_cf,2032,2897052.845427072,2897549.326240151,2861191.1691327007,2947157.6623320435,optimumWat
